Tag;English_Source
Gameplay_Lang;English
ATOW_Preparations_Title;<b>Preparations</b>
ATOW_Preparations_Content;Have the contents of the 'A Time of War' Scenario Box <icon=S3_ScenarioIcon> nearby:<br /><sprite=ScenarioBox3D_War><br />Retrieve the Scenario cards, Estates Upgrades, and the tokens featuring the Scenario Icon. Leave all the other components in the scenario box until instructed.<br /><br />Take the Disease <icon=S3_DiseaseCard> deck of cards and the Time Machine Repairs <icon=S3_TimeMachineRepairs> cards and place them back into the scenario box for now.<br /><br />Take the remaining scenario cards and shuffle them in with the appropriate decks based on their card backs.<br /><br />Take the Estate Upgrades and shuffle them in with their respective types.<br /><br />The scenario tokens can be separated by image and placed into a general supply within reach of all players.<br /><br />Remove one A Experiment from the top of the A Experiment deck for each player in the game. Shuffle the 'Time Machine' A Experiment from the Scenario Box into these cards. Then, deal one A Experiment to each player and discard the remaining card. Players keep this card face-down near their play area as their starting Experiment.<br /><br />Deal each player 1 starting <icon=CompulsionBack> card, 1 Servant, 1 Caretaker and $5 from the general supply. Players place the Servant and Caretaker in the Quarters of their Estate.<br /><br />Each player takes the matching 4 Player Order tokens of their color and places 1 on the 0 space of the VP Track, and 3 on the 0 spaces of the Knowledge Track.<br /><br />Each player takes 1 'Hubris' token (they all have the same backs) and places it in the 'Study' of their Estate with the 'Hubris' side face-up.<br /><br />Turn the Village Chronicle to page <b>1</b>.<br /><br />Place the Angry Mob token on the '{{0=|5|6|7}}' space of the Insanity Track.<br /><br />Return the remaining Scenario Boxes to the main game box.
ForewordScen2_Title;<b>A Time of War : A Memoir Across Three Generations</b>
ForewordScen2_Content;The air hangs heavy with the scent of gunpowder and fear. Across the continent, old alliances fracture as the Unified Monarchists and the Separatists clash for supremacy. Even in our quiet corner of the world, the drumbeat of war grows louder with every passing day.<br /><br />Our father's work does not pause for the petty squabbles of kings and rebels, yet we cannot ignore the storm gathering at our doorstep. Whether we profit from the conflict or shield our estates from its fury, the choices we make in the coming years will echo across generations.
ATimeofWarIntro_SubTitle;Taking Sides
ATimeofWarIntro_Content;Word has reached the village that armies are marching through the neighboring provinces. In the taverns and the Town Hall, whispers of espionage, conscription, and fortune-making dominate every conversation.<br /><br />Representatives from both factions have been spotted in the region, each seeking coin, supplies, and loyalty. Soon, our village will be forced to declare where it stands.
IntroConflict_Title;<b>War on the Horizon</b>
IntroConflict_Content;A regiment of the <b>{{0=warwinner}}</b> has established an outpost near the border of our valley. Their scouts ride openly along the high roads, and their emissaries have already begun courting the local magistrate.<br /><br />Though the outcome of this war is far from certain, the presence of the {{0=warwinner}} has emboldened their sympathizers in town while driving their rivals into the shadows.
IntroConflict_0_Content;Place the <b>{{0=warwinner}}</b> Flag token on the Town Hall space of the Village Chronicle.<br /><br />Whenever a player visits the Town Hall, they may pledge their support or uncover rumors about the war effort.
TakeSidesSetup_Content;Place the Wooden Figure token <icon=S3_WoodenFigureToken> on the <b>{{0=tracker}}</b> space of the Score Track. At the end of each round, it will move 1 space toward 0. When it reaches 0, a major military event will occur.<br /><br />Give the Storybook token <icon=StorybookToken> to <b>{{1=startPlayer}}</b>, who will be the Starting Player for this Generation.
TakeSides_Title;Tides of War
TakeSides_TownHall_Title;<icon=StorybookToken> <b>Town Hall - Political Rumblings</b>
TakeSides_TownHall_Content;When taking the Town Hall action, in addition to its normal benefit, a player may trade 1 Knowledge cube of any type to listen to the latest political rumors in town.
TakeSides_TownHall_ClickHere;Click here when a player trades a Knowledge cube at the Town Hall
TakeSides_Pledge_Title;<b>Second Round - Pledge of Support</b>
TakeSides_Pledge_Content;{{0=?|Starting next round, players will have the opportunity to formally pledge their support to one of the warring factions.|During the Middle Years, players should prepare their estates and resources for the upcoming military vote at the end of this round.}}
TakeSides_MilitaryDemands_Title;<b>Military Demands</b>
